method,N,dim,build_time,query_time
FAISS-IVF,1000,200,0.0030420410039369017,9.354099165648223e-06
FAISS-IVFPQ,1000,200,0.04805379101890139,1.7691802349872886e-05
FAISS-LSH,1000,200,0.00013662499259226024,6.578339671250432e-05
FAISS-IVF,2000,200,0.0040028750081546605,1.0258296970278025e-05
FAISS-IVFPQ,2000,200,0.08602316697943024,2.0241702441126107e-05
FAISS-LSH,2000,200,0.00027816600049845874,6.141670164652168e-05
FAISS-IVF,5000,200,0.009765000024344772,1.6199902165681124e-05
FAISS-IVFPQ,5000,200,0.2205397920042742,2.5399896549060942e-05
FAISS-LSH,5000,200,0.0008390829898416996,7.614170317538083e-05
FAISS-IVF,10000,200,0.017684582999208942,1.9741701544262467e-05
FAISS-IVFPQ,10000,200,0.4202912079927046,2.0616600522771478e-05
FAISS-LSH,10000,200,0.0012333340127952397,8.023729897104204e-05
FAISS-IVF,17830,200,0.03254149999702349,2.892900083679706e-05
FAISS-IVFPQ,17830,200,0.722229332983261,2.1029100753366948e-05
FAISS-LSH,17830,200,0.002360916987527162,8.744580554775894e-05
